Generic Name,Shortage Status,Revision Date,Created Date,NDC Codes
Amiodarone Injection,Current Shortages,"Aug 18, 2025","Jan 06, 2018",00143-9875-25;43066-0150-10;43066-0360-20;63323-0616-03;63323-0616-09;67457-0153-03;67457-0153-09;67457-0153-18;70436-0232-50;70436-0232-52;70436-0232-62
Ammonia Inhalant,No Commercially Available Preparations,"Jul 22, 2024","Jun 22, 2021",39822-9900-01;39822-9900-02
Ammonium Chloride Injection,Discontinued Drugs,"Jan 31, 2017","Sep 16, 2015",00409-6043-01
Ammonium Molybdate Injection,Discontinued Drugs,"Sep 26, 2018","May 20, 2015",00517-6610-25
Amobarbital Sodium Injection,Resolved Shortages,"Feb 01, 2021","Oct 18, 2019",00187-4303-05
Amobarbital Sodium Injection,Discontinued Drugs,"Sep 22, 2024","Apr 12, 2023",00187-4303-05
Amoxapine Tablets,Resolved Shortages,"Nov 14, 2023","Dec 15, 2017",00591-5713-01;00591-5714-01;00591-5715-01;00591-5716-30;62135-0700-90;62135-0701-90;62135-0702-90;62135-0703-30
Amoxapine Tablets,Resolved Shortages,"Apr 17, 2024","Apr 01, 2024",00591-5713-01;00591-5714-01;00591-5715-01;00591-5716-30
Amoxapine Tablets,Resolved Shortages,"Apr 09, 2025","Aug 20, 2024",00591-5713-01;00591-5714-01;00591-5715-01;00591-5716-30;62135-0700-90;62135-0701-90;62135-0702-90;62135-0703-30
Amoxicillin 875 mg Tablets,Resolved Shortages,"May 26, 2016","Jul 09, 2015",00093-2264-01;00143-9951-01;00143-9951-20;00781-5061-01;00781-5061-20;57237-0029-01;63304-0763-01;63304-0763-05;63304-0763-20;65862-0015-01
Amoxicillin and Clavulanate 1000 mg/62.5 mg Extended-Release Tablets,Resolved Shortages,"Aug 01, 2018","Dec 09, 2016",00781-1943-39;00781-1943-82;43598-0020-28;43598-0020-40;43598-0220-28;43598-0220-40
